ID,first_year,last_year
ACW00011604,1961,2013
AE000041196,1933,2024
AEM00041184,1979,2013
AEM00041194,1981,2024
AEM00041216,1979,2013
AEM00041217,1982,2024
AEM00041218,1994,2024
AFM00040911,1961,1992
AFM00040938,1961,2021
AFM00040948,1954,2021
AFM00040990,1964,2020
AFXLT299877,1977,1991
AG000060390,1856,2024
AG000060590,1892,2024
AG000060611,1958,2024
AG000060680,1940,2024
AGE00135039,1852,1966
AGE00147704,1909,1937
AGE00147705,1878,1961
AGE00147706,1893,1950
AGE00147707,1878,1938
AGE00147708,1886,2024
AGE00147709,1879,1961
AGE00147710,1909,2015
AGE00147711,1882,2013
AGE00147712,1879,1948
AGE00147713,1878,2004
AGE00147714,1896,1938
AGE00147715,1878,2015
AGE00147716,1878,2024
AGE00147718,1878,2024
AGE00147719,1878,2024
AGE00147720,1878,1961
AGM00060351,1984,2024
AGM00060353,1988,2019
AGM00060355,1878,2024
AGM00060360,1957,2024
AGM00060367,1984,2013
AGM00060369,1943,2024
AGM00060387,1991,2024
AGM00060402,1973,2024
AGM00060403,1878,2024
AGM00060405,1997,2024
AGM00060410,1991,2024
AGM00060415,1994,2024
AGM00060417,1991,2024
AGM00060419,1943,2024
AGM00060421,1985,2024
AGM00060423,1985,2024
AGM00060425,1965,2024
AGM00060430,1951,2024
AGM00060437,1991,2024
AGM00060444,1980,2024
AGM00060445,1980,2024
AGM00060452,1986,2024
AGM00060457,1852,2024
AGM00060461,1880,2024
AGM00060467,1981,2024
AGM00060468,1878,2024
AGM00060475,1951,2024
AGM00060476,1993,2024
AGM00060490,1852,2024
AGM00060506,1981,2008
AGM00060507,1983,2024
AGM00060511,1984,2024
AGM00060514,1991,2024
AGM00060515,1984,2024
AGM00060518,1976,2024
AGM00060520,1880,2024
AGM00060522,1976,2024
AGM00060531,1981,2024
AGM00060535,1878,2024
AGM00060536,1978,2024
AGM00060540,1978,2024
AGM00060549,1882,2024
AGM00060550,1975,2024
AGM00060555,1978,2024
AGM00060557,1991,2024
AGM00060559,1970,2024
AGM00060560,1889,2024
AGM00060563,1999,2024
AGM00060566,1973,2024
AGM00060571,1951,2024
AGM00060580,1892,2024
AGM00060581,1965,2024
AGM00060602,1979,2024
AGM00060603,2007,2024
AGM00060607,1967,2024
AGM00060620,1966,2024
AGM00060630,1964,2024
AGM00060640,1983,2024
AGM00060656,1943,2024
AGM00060670,1966,2024
AGM00060686,1988,2024
AGM00060690,1989,2024
AGXLT074658,1965,2015
AGXLT104989,1975,2015
AGXLT146043,1968,2013
AGXLT191914,1987,2015
AGXLT247289,1991,2015
AGXLT305380,1970,2004
AGXLT391176,1987,2013
AGXLT477883,1888,2013
AGXLT544396,1889,1907
AGXLT602246,1965,2015
AGXLT750989,1931,1962
AGXLT818652,1991,2013
AGXLT830065,1878,1971
AGXLT898158,1987,2015
AGXLT952400,1908,1961
AGXLT990706,1969,2013
AJ000037575,1959,2024
AJ000037661,1959,2024
AJ000037675,1959,2024
AJ000037735,1882,2024
AJ000037747,1959,2024
AJ000037749,1959,2024
AJ000037756,1979,2024
AJ000037860,1959,2021
AJ000037907,1937,2024
AJ000037936,1959,2021
AJ000037985,1882,2024
AJ000037989,1937,2024
AJXLT263100,1848,1875
ALE00100939,1940,2013
ALE00108905,1951,2013
ALM00013610,1981,1990
ALM00013615,1951,2024
ALM00013622,1951,1990
ALM00013625,1981,1990
ALM00013629,1971,2013
AM000037682,1975,2024
AM000037686,1895,2015
AM000037781,1929,2024
AM000037789,1885,2024
AM000037801,1891,2024
AMM00037717,2002,2024
AO000066160,1901,2024
AO000066270,1961,1970
AO000066390,1957,2024
AO000066410,1957,1980
AO000066422,1916,1980
AO000066447,1953,1975
AOM00066140,1956,1975
AOM00066152,1951,1980
AOM00066215,1951,1980
AOM00066226,1961,1975
AOM00066285,1941,1975
AOM00066318,1941,1980
AOM00066325,1952,1970
AOXLT237217,1951,1975
AOXLT400864,1941,1980
AOXLT442550,1916,1973
AOXLT606864,1939,1956
AOXLT714994,1941,1960
AOXLT781717,1939,1980
AOXLT894964,1949,1980
AQC00914869,1957,2013
AQW00061705,1945,2024
AR000000011,1961,2024
AR000087007,1911,2024
AR000087065,1931,2024
AR000087078,1951,2024
AR000087129,1931,2024
AR000087155,1951,2024
AR000087217,1931,2024
AR000087257,1931,2024
AR000087270,1961,2024
AR000087344,1949,2024
AR000087374,1931,2024
AR000087418,1949,2024
AR000087534,1950,2024
AR000087623,1941,2024
AR000087692,1931,2024
AR000087715,1957,2024
AR000087803,1931,2024
AR000087828,1901,2024
AR000087860,1931,2024
AR000087925,1928,2024
AR000870470,1901,2024
AR000873050,1961,2024
AR000875440,1951,2024
AR000875850,1856,2024
AR000877500,1860,2024
ARM00087016,1961,2024
ARM00087022,1973,2024
ARM00087046,1931,2024
ARM00087121,1981,2024
ARM00087148,1968,2024
ARM00087162,1928,2024
ARM00087166,1928,2024
ARM00087178,1931,2024
ARM00087222,1904,2024
ARM00087244,1961,2024
ARM00087289,1931,2024
ARM00087311,1931,2024
ARM00087320,1963,2024
ARM00087322,1931,2006
ARM00087328,1961,2024
ARM00087345,1873,2024
ARM00087349,1931,2024
ARM00087395,1951,2024
ARM00087416,1978,2024
ARM00087420,1906,2024
ARM00087436,1931,2024
ARM00087448,1961,2024
ARM00087453,1931,2024
ARM00087467,1961,2024
ARM00087480,1941,2024
ARM00087497,1961,2024
ARM00087506,1961,2024
ARM00087509,1961,2024
ARM00087532,1961,2024
ARM00087548,1933,2024
ARM00087550,1961,2024
ARM00087563,1988,2020
ARM00087576,1957,2024
ARM00087582,1961,2024
ARM00087593,1973,2024
ARM00087596,1957,2024
ARM00087637,1973,2020
ARM00087640,1992,2024
ARM00087641,1991,2024
ARM00087645,1973,2024
ARM00087648,1931,2024
ARM00087679,1962,2024
ARM00087688,1928,2024
ARM00087736,1980,2006
ARM00087765,1931,2024
ARM00087774,1957,2024
ARM00087784,1931,2024
ARM00087791,1971,2024
ARM00087800,1993,2024
ARM00087814,1971,2022
ARM00087823,1994,2024
ARM00087852,1977,2024
ARM00087880,1951,2024
ARM00087896,1961,2024
ARM00087903,1961,2000
ARM00087904,2001,2024
ARM00087909,1951,2024
ARM00087934,1973,2024
ARM00087938,1931,2024
ARN00000038,1973,2010
ARN00000067,1959,2011
ARN00000070,1962,2006
ARN00000098,1956,2011
ARN00000145,1957,2011
ARN00000216,1960,2011
ARN00000230,1970,2010
ARN00000343,1960,2011
ARN00000358,1951,2011
ARN00000400,1961,2011
ARN00000416,1967,2011
ARN00000421,1966,2011
ARN00000423,1968,2010
ARN00000438,1969,2011
ARN00000442,1970,2011
ARN00000444,1968,2011
ARN00000445,1968,2013
ARN00000446,1961,2011
ARN00000448,1968,2008
ARN00000457,1960,1990
ARN00000464,1960,2008
ARN00000472,1961,2011
ARN00000492,1967,2011
ARN00000496,1951,2013
ARN00000497,1968,2011
ARN00000498,1968,2011
ARXLT052250,1901,1991
ARXLT082667,1931,1961
ARXLT097381,1928,1990
ARXLT099684,1931,1960
ARXLT122749,1903,1964
ARXLT146898,1928,1944
ARXLT185239,1931,2013
ARXLT203610,1961,2013
ARXLT208531,1961,1990
ARXLT242717,1931,1960
ARXLT297472,1902,1990
ARXLT309443,1931,1960
ARXLT328770,1931,1991
ARXLT361672,1931,1960
ARXLT374324,1928,1944
ARXLT417177,1961,1990
ARXLT498842,1877,1960
ARXLT513600,1931,1997
ARXLT538245,1961,1990
ARXLT581111,1931,1960
ARXLT645851,1931,1960
ARXLT657745,1951,1968
ARXLT662267,1981,2013
ARXLT663345,1931,1960
ARXLT678345,1931,1960
ARXLT725249,1928,1944
ARXLT725895,1928,1981
ARXLT754115,1928,1990
ARXLT811415,1931,2013
ARXLT834021,1928,1944
ARXLT847638,1933,1957
ARXLT893853,1931,1960
ARXLT894786,1901,1982
ARXLT926859,1931,1980
ARXLT945445,1904,2013
ARXLT954992,1902,1919
ARXLT965754,1931,1960
ASM00094275,1894,2007
ASM00094299,1939,2024
ASM00094940,1907,2004
ASM00094995,1912,2024
ASM00094997,1997,2015
ASM00094998,1948,2024
ASM00095997,1998,2012
ASN00001005,1898,1967
ASN00001006,1750,2023
ASN00001007,1750,2023
ASN00001009,1965,2010
ASN00001012,1970,1986
ASN00001013,1968,2014
ASN00001018,1993,2022
ASN00001019,1750,2024
ASN00001020,1750,2023
ASN00001021,1941,2005
ASN00001025,1750,2023
ASN00002011,1898,1967
ASN00002012,1944,2024
ASN00002014,1944,2005
ASN00002032,1962,2023
ASN00002038,1965,1992
ASN00002056,1750,2023
ASN00002064,1750,2023
ASN00002071,1971,2001
ASN00003002,1894,1953
ASN00003003,1750,2024
ASN00003004,1944,1985
ASN00003006,1955,1987
ASN00003007,1888,1997
ASN00003025,1948,1981
ASN00003030,1957,2023
ASN00003032,1750,2023
ASN00003057,1985,2023
ASN00003080,1750,2023
ASN00003093,1750,2023
ASN00003096,1999,2013
ASN00004002,1912,1948
ASN00004019,1750,2023
ASN00004020,1901,2013
ASN00004027,1898,1983
ASN00004028,1948,2020
ASN00004032,1750,2024
ASN00004035,1919,2014
ASN00004043,1971,1993
ASN00004074,1966,1992
ASN00004083,1750,2023
ASN00004090,1750,2023
ASN00004106,1750,2024
ASN00005007,1750,2024
ASN00005008,1750,2023
ASN00005016,1887,2012
ASN00005017,1750,2023
ASN00005024,1948,1967
ASN00005026,1951,2019
ASN00005058,1967,1999
